NEVO-code,productnaam,energie_kcal,koolhydraten_g,eiwitten_g,vetten_g
1,Aardappelen rauw,88,19.0,2.0,0.0
2,Aardappelen nieuwe rauw,88,19.0,2.0,0.0
3,Aardappelen oude rauw,88,19.0,2.0,0.0
4,Pasta witte rauw,356,72.0,12.3,1.5
5,Rijst witte rauw,352,78.0,7.0,1.0
7,Andijvie rauw,16,1.0,1.5,0.3
8,Andijvie gekookt,22,2.3,1.4,0.5
9,Asperge witte rauw,22,3.0,1.0,0.3
10,Aubergine rauw,20,3.0,1.0,0.0
11,Aubergine gekookt,21,3.0,1.0,0.0
12,Biet rode rauw,38,6.0,1.7,0.1
13,Selderij bleek- gekookt,14,2.0,1.0,0.0
14,Kool bloem- rauw,25,3.0,1.9,0.2
15,Kool bloem- gekookt,22,1.8,1.8,0.4
16,Kool boeren- gekookt,33,1.0,2.7,1.3
17,Cantharel rauw,16,1.0,1.8,0.0
18,Cantharel gekookt,20,2.0,1.8,0.0
19,Champignon rauw,18,0.4,2.3,0.5
20,Champignon gekookt,21,0.4,3.8,0.3
21,Kool Chinese rauw,17,2.0,1.0,0.0
22,Kool Chinese gekookt,17,2.0,1.0,0.0
23,Doperwten rauw,65,10.0,4.0,0.0
24,Kool groene rauw,36,4.1,2.4,0.2
25,Kool groene gekookt,21,2.3,1.5,0.2
26,Selderij knol- gekookt,38,5.0,2.0,0.0
27,Komkommer z schil rauw,15,2.5,0.6,0.2
28,Komkommer gekookt,17,3.0,1.0,0.0
29,Koolraap gekookt,33,5.8,0.7,0.1
30,Koolrabi gekookt,31,4.0,2.0,0.3
31,Paprika groene rauw,19,2.5,0.8,0.1
32,Paprika groene gekookt,17,2.3,0.6,0.2
33,Rozijnen gedroogd,325,71.7,3.1,0.5
35,Peultjes rauw,33,5.0,2.0,0.0
36,Postelein gekookt,13,1.0,1.0,0.0
37,Prei gekookt,22,2.1,1.1,0.5
38,Raapstelen rauw,17,1.0,2.0,0.0
39,Raapstelen gekookt,17,1.0,2.0,0.0
40,Rabarber rauw,23,2.0,1.0,0.0
41,Kool rode rauw,27,3.0,2.0,0.0
42,Kool rode gekookt,23,3.0,1.3,0.0
45,Schorseneren rauw,76,15.0,1.0,1.0
46,Sla krop- rauw,13,0.3,1.4,0.4
47,Sla krop- gekookt,22,2.0,2.0,0.4
48,Snijbiet gekookt,29,3.0,3.0,0.0
49,Bonen snij- rauw,22,2.0,1.9,0.1
50,Bonen sperzie- rauw,25,1.8,2.3,0.2
51,Spinazie rauw,26,0.9,3.2,0.6
52,Spinazie gekookt,25,0.7,2.9,0.9
53,Kool spits- rauw,42,4.0,3.0,1.0
54,Kool spits- gekookt,21,1.6,1.1,0.6
55,Spruitjes gekookt,47,5.6,2.3,0.7
57,Mais suiker- gekookt,74,11.6,2.5,1.4
58,Tauge rauw,25,3.2,2.2,0.1
59,Tauge gekookt,17,1.7,1.8,0.1
60,Tomaat gewoon rauw,20,2.9,0.7,0.4
61,Tomaat gewoon gekookt,23,2.9,0.7,0.7
62,Bonen tuin- rauw,51,4.0,5.0,0.0
63,Ui rauw,37,6.3,1.3,0.2
64,Ui gekookt,35,6.3,1.0,0.2
65,Sla veld- rauw,18,0.5,2.6,0.2
67,Witlof rauw,19,2.4,1.3,0.2
68,Witlof gekookt,16,2.0,1.2,0.2
